CH1,CH2,CH3,CH4,CH5
528,506,514,533,490
518,503,509,529,493
514,503,506,526,497
503,497,496,514,514
498,497,498,507,528
498,499,502,504,534
504,504,508,500,536
508,508,512,499,536
511,505,513,500,529
509,507,516,499,526
511,507,516,502,529
509,504,517,499,524
513,505,515,504,518
517,506,518,511,506
521,507,520,521,495
523,509,517,529,487
524,510,519,534,485
523,506,513,532,485
518,503,508,527,488
512,501,505,524,501
497,496,495,510,519
494,497,498,502,527
496,502,503,500,536
503,508,511,499,537
510,509,515,500,530
506,505,515,501,529
509,502,515,500,524
510,509,516,501,523
517,505,517,501,519
518,504,518,510,511
523,504,517,516,498
525,507,518,523,490
526,509,518,532,487
525,510,515,532,488
517,507,512,529,491
512,504,509,528,499
503,499,499,519,508
495,498,498,509,520
493,500,501,502,531
497,502,506,501,540
499,506,512,500,540
501,508,515,500,537
508,505,513,499,539
516,505,516,500,526
513,507,519,501,520
513,505,516,504,513
520,506,519,513,498
529,511,519,521,495
526,507,519,529,485
521,507,518,533,484
523,507,516,534,484
518,505,511,531,489
513,503,503,525,495
502,498,496,516,514
492,495,497,508,533
497,501,501,499,533
503,507,511,501,536
506,506,515,501,533
506,506,514,501,531
509,507,516,499,526
510,507,516,501,522
511,507,518,503,518
510,504,518,508,509
511,505,518,514,502
516,507,519,525,494
521,508,520,529,486
513,509,517,532,489
507,507,513,530,493
491,501,507,528,503
483,501,504,520,507
477,497,496,511,522
470,499,499,503,535
475,503,502,501,538
513,509,513,501,528
519,507,513,502,526
526,506,514,502,522
532,508,518,499,525
537,507,518,499,525
527,505,517,504,525
523,506,518,506,514
523,505,518,515,500
536,515,521,528,480
536,511,519,529,480
529,509,517,533,486
527,508,513,533,487
527,506,507,526,497
512,496,499,519,515
508,499,496,508,528
505,501,502,503,539
507,502,506,499,544
506,504,511,498,539
508,505,516,502,526
510,506,513,500,523
509,506,517,502,523
509,507,518,502,521
507,505,518,506,520
502,504,517,511,509
512,508,517,521,499
522,510,522,526,489
522,508,519,535,490
517,505,513,536,492
519,503,506,525,496
524,502,505,523,503
507,498,498,515,523
490,497,495,507,527
485,499,502,505,525
488,505,510,504,521
498,502,512,501,520
493,502,514,501,519
494,505,518,500,520
497,504,519,501,523
533,507,519,503,512
539,509,519,509,503
532,505,519,516,497
529,508,520,520,494
535,509,520,532,484
531,509,518,536,481
527,507,513,530,481
524,504,506,526,484
517,500,504,524,487
504,493,496,512,505
502,500,498,503,531
506,503,505,500,538
509,508,512,500,534
510,508,517,499,532
507,506,515,497,531
509,507,518,500,531
505,506,518,501,532
496,503,517,503,527
494,500,516,512,520
500,502,516,517,506
508,508,518,521,489
506,508,518,530,475
499,504,516,532,479
498,500,510,531,490
510,504,505,527,514
500,498,499,518,524
504,496,496,511,525
519,501,501,503,524
527,506,507,501,526
529,506,512,502,542
519,506,514,498,545
510,505,513,498,543
507,507,516,498,534
513,508,518,501,527
506,503,517,506,510
513,505,519,518,488
525,510,523,523,471
534,512,520,530,462
541,511,519,530,466
524,509,514,533,468
506,504,510,531,475
495,504,509,526,501
479,496,497,511,531
475,497,496,505,539
478,502,503,504,540
496,508,509,501,543
529,506,513,500,540
531,510,515,499,542
521,509,517,502,537
503,505,517,501,542
497,506,515,498,545
499,507,518,505,541
504,509,521,515,526
525,512,521,522,510
548,512,523,533,497
542,517,520,534,487
544,509,513,531,480
534,503,504,526,482
512,501,500,521,480
493,494,496,514,490
502,500,495,505,500
505,502,504,504,524
501,506,512,503,546
500,507,516,500,534
514,506,515,500,522
513,504,516,501,518
500,501,513,499,524
480,499,512,502,530
468,499,513,508,516
471,503,517,516,504
462,505,520,527,493
454,505,519,537,501
465,507,517,538,505
472,503,510,530,502
506,506,506,525,507
523,504,499,519,512
498,503,497,509,540
500,508,503,508,562
497,511,512,502,564
500,511,515,500,550
516,506,512,498,536
565,509,514,503,496
582,511,517,503,485
560,508,518,505,487
554,504,515,504,476
561,505,515,508,469
549,505,517,520,468
546,510,519,527,463
547,510,516,533,477
539,506,513,529,479
527,504,507,530,476
524,503,506,528,491
514,500,499,516,530
501,497,497,505,542
491,500,498,505,539
492,503,508,505,536
506,505,514,504,523
516,509,518,502,513
506,504,516,503,517
509,507,515,498,527
507,507,517,503,527
498,505,519,510,534
486,502,512,512,536
477,504,517,524,513
502,508,521,535,491
512,508,515,539,485
506,506,511,530,507
498,502,502,520,533
501,502,500,523,545
513,499,494,513,558
521,500,496,499,549
536,510,502,495,522
543,508,511,499,511
529,498,507,498,513
533,501,509,503,478
536,506,515,507,459
536,506,517,506,476
530,505,515,503,496
528,504,512,511,474
530,502,510,517,465
535,508,518,531,477
525,507,514,531,485
528,511,511,529,479
506,507,508,528,523
494,508,506,528,526
478,500,497,520,532
468,496,495,510,535
458,499,501,511,534
462,502,504,509,534
481,507,512,502,512
495,506,513,503,493
509,502,508,501,492
533,505,512,499,503
524,504,510,497,528
501,501,505,501,542
506,505,512,511,526
510,506,513,514,531
519,508,513,526,519
534,507,512,534,488
560,508,510,535,462
556,503,501,530,487
553,502,496,521,497
532,493,489,510,494
527,496,491,505,524
524,500,495,503,542
529,504,503,499,541
522,497,501,496,539
498,497,505,499,512
491,508,514,506,498
494,503,513,502,512
477,502,512,506,513
468,503,512,509,522
470,504,512,516,517
471,507,515,527,523
475,512,514,532,555
470,510,514,535,535
506,506,505,531,488
538,502,498,526,454
526,492,489,520,474
531,489,483,512,497
511,495,488,504,506
497,501,495,499,547
486,505,506,498,542
491,508,507,498,540
484,503,508,498,560
470,507,510,504,546
455,501,510,503,552
489,505,512,502,542
499,507,512,512,549
515,503,511,519,501
529,508,508,525,445
562,506,505,526,444
581,503,497,529,475
562,501,494,526,487
538,499,494,526,500
515,493,485,514,534
497,498,487,510,537
491,503,495,509,547
497,508,500,498,541
501,506,500,495,531
471,499,503,498,502
469,498,507,508,480
431,499,508,500,518
440,504,511,500,527
471,499,505,504,553
488,502,509,515,548
553,508,510,519,513
554,509,512,528,495
529,509,507,534,516
547,514,506,537,521
549,505,499,533,527
520,498,488,527,504
509,494,480,512,485
499,498,487,506,526
495,501,497,505,531
520,499,495,493,564
517,493,493,489,521
545,503,504,505,460
554,510,510,503,458
520,500,508,504,475
525,500,511,499,498
531,506,507,512,503
516,504,509,519,508
526,510,510,530,494
508,509,507,534,483
517,505,501,537,460
527,505,499,540,474
503,492,489,536,489
516,498,487,515,483
517,493,479,500,508
519,495,482,500,517
522,504,497,502,539
492,506,503,498,594
493,509,509,496,564
498,502,501,486,569
473,499,504,497,580
515,506,510,503,542
528,506,506,504,510
554,515,512,516,480
542,505,505,523,445
527,504,504,526,449
502,502,501,531,460
531,502,495,530,462
530,503,489,524,475
477,500,490,523,518
440,484,480,515,529
459,485,483,513,532
466,490,489,510,543
494,500,492,487,552
499,502,496,490,567
539,505,502,497,554
513,499,499,500,517
519,506,509,498,511
527,505,507,499,540
520,505,508,505,527
517,504,502,507,513
508,506,505,520,492
510,509,506,530,474
543,522,510,543,486
574,522,506,543,462
556,507,492,520,493
541,498,482,514,526
497,487,474,508,538
447,484,480,512,478
428,491,483,495,501
437,496,496,494,595
439,497,500,503,612
458,501,505,507,591
547,510,506,506,507
588,509,505,501,456
543,514,513,498,492
481,510,511,506,513
391,498,504,513,518
376,497,501,528,483
424,500,501,535,487
467,494,490,528,506
551,489,478,518,498
656,497,477,526,512
608,496,475,532,468
518,495,479,503,461
460,500,488,512,473
467,506,499,508,516
507,519,514,511,481
474,506,506,505,554
474,505,507,504,598
504,506,504,500,556
541,504,501,488,562
484,493,498,499,599
395,488,497,508,575
379,489,494,526,545
420,497,496,535,438
422,502,500,535,460
452,504,495,522,477
462,499,489,532,502
376,495,484,530,530
300,483,475,520,540
344,481,476,505,581
524,499,489,509,555
658,527,509,511,522
582,528,513,501,594
466,507,506,504,581
423,504,509,497,458
420,492,497,499,361
443,491,503,511,413
491,493,500,507,483
474,486,497,512,492
498,506,503,515,530
587,515,505,533,518
537,524,515,544,501
433,501,494,526,515
334,471,466,507,542
351,482,477,523,463
403,501,481,520,487
340,488,474,491,572
365,489,483,495,597
391,502,503,488,626
668,527,515,501,638
766,533,516,505,563
669,512,508,507,499
548,495,503,497,512
550,500,505,523,430
622,515,508,493,469
672,510,508,501,499
688,507,501,513,505
649,517,510,542,479
591,521,516,562,399
567,514,506,546,416
535,503,492,525,475
515,496,481,509,496
540,507,486,519,560
517,505,496,522,544
512,499,493,498,546
504,495,499,497,504
488,498,504,500,484
435,491,500,492,521
483,494,507,502,482
493,514,516,503,547
461,514,520,516,564
533,507,514,533,500
612,510,503,502,486
585,509,503,515,455
518,514,509,534,434
502,508,504,533,463
500,494,487,526,505
503,490,483,521,465
527,487,474,501,434
483,489,478,504,530
407,502,494,508,565
473,520,513,517,609
568,521,517,517,539
602,500,501,503,557
611,505,504,478,624
597,507,517,502,541
541,502,513,501,516
546,502,507,495,452
550,506,507,506,507
563,507,503,517,453
564,506,504,530,461
517,505,502,534,465
483,500,498,531,513
457,506,498,529,531
476,515,502,534,513
435,508,494,523,500
418,505,498,514,492
404,509,505,508,565
529,508,505,504,545
576,497,497,489,551
548,484,493,488,524
534,499,503,495,497
543,508,505,494,537
537,505,507,501,516
494,494,501,507,536
510,504,505,505,526
464,501,506,507,521
406,496,505,523,496
421,512,513,552,389
348,499,501,550,444
381,484,486,529,503
510,495,484,530,522
469,500,488,501,519
433,498,494,503,571
408,495,492,505,651
427,515,507,496,660
434,512,511,506,533
458,500,506,503,476
508,516,521,513,439
531,512,525,505,496
590,504,514,516,437
674,507,507,506,504
720,513,498,497,589
725,520,507,532,567
604,508,499,523,517
462,483,491,522,475
438,492,494,531,469
424,489,490,529,475
426,490,491,529,465
345,480,486,507,556
406,504,499,492,603
522,517,505,482,598
579,507,505,491,538
567,492,499,497,467
549,500,506,501,457
494,500,507,503,518
546,520,516,510,516
524,517,517,519,530
422,499,512,521,582
348,502,519,537,471
378,512,520,552,452
342,503,508,532,422
560,513,502,522,457
682,518,501,524,524
693,517,497,526,572
514,495,488,529,571
432,489,485,498,452
395,484,486,498,458
459,497,503,506,512
631,518,514,497,518
674,524,518,500,476
601,508,512,494,494
598,503,511,489,538
587,506,510,489,510
681,523,513,509,529
670,519,511,518,552
555,495,504,527,531
415,481,499,527,529
474,504,509,551,487
477,499,506,567,525
539,511,503,499,511
535,505,494,510,383
478,497,493,505,516
516,506,500,500,551
507,501,502,495,559
529,501,505,492,536
507,505,513,499,512
527,514,518,505,511
489,506,517,504,481
539,508,520,506,484
519,514,522,517,540
512,507,520,518,508
530,502,512,509,458
543,503,506,521,413
467,504,510,525,473
450,515,518,548,499
521,518,509,525,520
553,508,497,519,528
561,489,480,509,546
542,490,483,500,520
538,495,492,499,499
587,505,503,496,512
536,500,507,490,574
500,508,515,494,605
455,498,510,500,587
484,505,515,498,491
534,507,519,508,454
528,509,520,514,473
487,505,515,514,520
446,500,514,534,509
436,491,503,527,528
397,489,495,514,539
472,504,509,539,482
491,502,503,540,530
587,519,512,535,531
508,504,498,507,555
480,506,497,502,522
482,512,509,508,467
569,525,515,514,453
452,507,512,502,498
469,515,521,504,506
517,506,516,500,504
533,505,514,498,516
566,499,510,499,557
467,488,507,507,549
506,494,508,507,502
497,498,505,514,516
389,487,505,528,448
515,513,513,535,467
565,516,509,536,439
657,504,499,537,443
612,501,494,525,488
552,501,496,509,521
510,513,505,510,511
437,516,513,508,586
396,508,518,502,564
510,502,516,499,568
485,485,502,486,625
370,496,507,502,573
353,494,516,505,519
412,480,501,494,508
437,483,505,501,507
612,526,523,516,421
587,523,520,524,474
442,486,501,521,563
541,503,510,539,458
626,513,507,541,423
629,513,506,519,535
611,514,504,526,491
573,506,501,516,507
532,505,506,513,586
545,514,519,519,536
508,524,529,507,547
463,527,540,521,566
518,507,522,491,542
513,495,509,491,507
474,492,497,478,444
401,489,509,498,497
529,502,518,520,464
636,519,517,516,442
604,500,506,520,437
551,506,507,528,471
636,525,509,536,493
619,514,505,525,536
491,498,498,526,485
451,494,492,512,513
464,493,499,506,506
506,500,501,497,561
554,507,511,493,575
556,509,519,501,605
528,507,518,505,546
523,503,517,502,515
530,507,520,502,497
541,517,525,508,458
554,513,521,509,445
554,511,522,516,480
508,513,524,528,518
498,509,516,534,496
533,505,509,522,504
523,502,503,524,533
507,499,499,526,510
506,496,489,516,465
456,486,486,508,516
480,495,496,500,544
487,500,504,493,505
524,505,515,500,499
526,506,520,500,534
501,503,516,498,548
540,509,523,501,531
533,513,525,505,521
509,504,520,507,513
501,503,518,512,492
500,503,517,520,496
517,510,521,531,478
549,514,517,535,468
543,516,518,536,486
538,507,508,531,490
499,502,505,530,518
473,497,495,522,530
454,491,489,503,533
371,488,499,498,532
402,497,504,498,548
