CH1,CH2,CH3,CH4,CH5
501.0,508.0,510.0,504.0,545.0
504.0,511.0,520.0,501.0,581.0
506.0,507.0,524.0,501.0,586.0
512.0,508.0,523.0,499.0,580.0
506.0,504.0,523.0,498.0,584.0
508.0,506.0,525.0,499.0,576.0
510.0,504.0,523.0,498.0,566.0
511.0,503.0,518.0,509.0,540.0
514.0,502.0,516.0,515.0,510.0
520.0,506.0,515.0,522.0,470.0
520.0,504.0,510.0,531.0,441.0
521.0,503.0,506.0,534.0,433.0
518.0,503.0,498.0,529.0,426.0
515.0,502.0,499.0,527.0,428.0
509.0,499.0,494.0,520.0,443.0
501.0,498.0,493.0,511.0,479.0
498.0,503.0,502.0,507.0,520.0
500.0,506.0,514.0,502.0,557.0
505.0,511.0,523.0,498.0,586.0
508.0,507.0,524.0,499.0,587.0
511.0,508.0,524.0,498.0,583.0
507.0,507.0,525.0,500.0,584.0
507.0,507.0,524.0,499.0,576.0
509.0,504.0,521.0,500.0,560.0
513.0,502.0,516.0,509.0,528.0
520.0,503.0,513.0,517.0,494.0
525.0,505.0,511.0,525.0,454.0
527.0,508.0,509.0,533.0,434.0
525.0,508.0,507.0,534.0,424.0
514.0,501.0,501.0,530.0,429.0
512.0,501.0,497.0,529.0,428.0
503.0,496.0,491.0,518.0,454.0
500.0,498.0,496.0,511.0,494.0
498.0,505.0,507.0,507.0,533.0
499.0,507.0,516.0,501.0,572.0
510.0,510.0,524.0,499.0,587.0
507.0,510.0,526.0,501.0,586.0
509.0,508.0,525.0,497.0,585.0
510.0,508.0,525.0,499.0,579.0
512.0,507.0,523.0,499.0,571.0
513.0,502.0,518.0,504.0,548.0
516.0,503.0,515.0,514.0,516.0
520.0,505.0,512.0,521.0,480.0
518.0,508.0,511.0,532.0,448.0
522.0,505.0,508.0,536.0,432.0
517.0,502.0,503.0,534.0,428.0
515.0,502.0,498.0,528.0,425.0
514.0,500.0,498.0,528.0,435.0
502.0,499.0,494.0,515.0,467.0
499.0,502.0,498.0,510.0,510.0
499.0,505.0,512.0,504.0,547.0
500.0,510.0,522.0,499.0,583.0
511.0,510.0,525.0,500.0,587.0
509.0,507.0,525.0,500.0,586.0
505.0,506.0,521.0,497.0,587.0
508.0,505.0,524.0,501.0,581.0
510.0,504.0,521.0,499.0,570.0
513.0,502.0,519.0,507.0,540.0
517.0,505.0,517.0,513.0,507.0
524.0,505.0,512.0,522.0,466.0
531.0,507.0,509.0,533.0,439.0
521.0,508.0,508.0,534.0,430.0
511.0,503.0,499.0,531.0,428.0
512.0,502.0,498.0,528.0,430.0
504.0,496.0,491.0,521.0,443.0
498.0,497.0,492.0,511.0,482.0
498.0,501.0,504.0,506.0,524.0
502.0,507.0,513.0,502.0,563.0
510.0,511.0,522.0,500.0,587.0
511.0,508.0,524.0,500.0,583.0
512.0,506.0,521.0,498.0,583.0
517.0,507.0,524.0,500.0,574.0
508.0,503.0,524.0,503.0,579.0
513.0,504.0,521.0,504.0,556.0
523.0,503.0,519.0,513.0,524.0
520.0,504.0,515.0,515.0,496.0
510.0,503.0,513.0,525.0,463.0
520.0,506.0,510.0,530.0,436.0
520.0,506.0,507.0,534.0,424.0
506.0,501.0,502.0,528.0,429.0
507.0,502.0,498.0,527.0,430.0
501.0,498.0,492.0,513.0,455.0
506.0,502.0,498.0,509.0,497.0
503.0,504.0,508.0,504.0,540.0
511.0,510.0,519.0,499.0,574.0
513.0,513.0,524.0,499.0,587.0
513.0,514.0,527.0,500.0,583.0
509.0,508.0,522.0,497.0,588.0
513.0,508.0,525.0,498.0,582.0
511.0,505.0,524.0,503.0,574.0
515.0,502.0,521.0,505.0,546.0
515.0,503.0,516.0,513.0,517.0
521.0,505.0,514.0,522.0,482.0
525.0,505.0,513.0,528.0,446.0
524.0,505.0,507.0,533.0,431.0
521.0,505.0,502.0,532.0,427.0
516.0,502.0,499.0,530.0,427.0
512.0,501.0,497.0,528.0,431.0
501.0,498.0,494.0,514.0,466.0
501.0,500.0,502.0,509.0,512.0
500.0,505.0,511.0,503.0,552.0
505.0,510.0,522.0,500.0,584.0
504.0,511.0,525.0,500.0,589.0
512.0,509.0,525.0,498.0,583.0
515.0,507.0,524.0,498.0,584.0
513.0,505.0,525.0,500.0,579.0
513.0,504.0,521.0,501.0,567.0
511.0,507.0,520.0,508.0,539.0
512.0,506.0,517.0,514.0,512.0
520.0,507.0,513.0,525.0,469.0
522.0,507.0,511.0,529.0,442.0
526.0,507.0,509.0,536.0,426.0
518.0,503.0,502.0,531.0,426.0
510.0,502.0,500.0,530.0,425.0
502.0,497.0,493.0,524.0,447.0
500.0,498.0,496.0,514.0,484.0
496.0,504.0,505.0,507.0,526.0
500.0,508.0,513.0,501.0,564.0
506.0,511.0,525.0,500.0,587.0
507.0,508.0,524.0,499.0,588.0
509.0,507.0,524.0,495.0,584.0
513.0,507.0,526.0,498.0,580.0
512.0,506.0,525.0,499.0,574.0
512.0,503.0,521.0,504.0,556.0
515.0,503.0,520.0,511.0,528.0
515.0,502.0,516.0,518.0,496.0
522.0,505.0,512.0,527.0,455.0
524.0,507.0,509.0,534.0,437.0
526.0,509.0,507.0,536.0,426.0
515.0,503.0,497.0,529.0,431.0
514.0,503.0,499.0,532.0,431.0
507.0,496.0,493.0,518.0,459.0
501.0,500.0,500.0,511.0,498.0
499.0,504.0,508.0,506.0,540.0
505.0,511.0,521.0,501.0,577.0
506.0,510.0,527.0,499.0,590.0
510.0,510.0,525.0,499.0,583.0
511.0,508.0,522.0,498.0,585.0
510.0,506.0,525.0,500.0,582.0
511.0,505.0,525.0,502.0,570.0
512.0,504.0,519.0,506.0,549.0
516.0,504.0,518.0,513.0,517.0
522.0,505.0,515.0,523.0,478.0
523.0,506.0,512.0,530.0,446.0
522.0,507.0,509.0,534.0,434.0
519.0,505.0,505.0,534.0,427.0
512.0,502.0,500.0,528.0,427.0
508.0,500.0,497.0,528.0,436.0
502.0,498.0,499.0,518.0,471.0
501.0,501.0,503.0,508.0,510.0
503.0,507.0,512.0,504.0,547.0
505.0,508.0,522.0,504.0,583.0
510.0,509.0,525.0,497.0,583.0
513.0,510.0,526.0,500.0,583.0
509.0,505.0,521.0,497.0,586.0
513.0,508.0,526.0,498.0,579.0
512.0,504.0,519.0,500.0,562.0
512.0,507.0,518.0,508.0,535.0
515.0,504.0,515.0,514.0,504.0
519.0,504.0,514.0,526.0,465.0
524.0,506.0,509.0,533.0,435.0
522.0,506.0,507.0,534.0,426.0
512.0,502.0,500.0,527.0,432.0
509.0,501.0,499.0,526.0,431.0
499.0,494.0,491.0,518.0,451.0
497.0,499.0,495.0,508.0,485.0
497.0,504.0,506.0,508.0,527.0
500.0,509.0,515.0,502.0,563.0
508.0,511.0,525.0,500.0,592.0
513.0,508.0,525.0,501.0,585.0
516.0,508.0,523.0,499.0,580.0
510.0,506.0,524.0,501.0,583.0
511.0,509.0,522.0,499.0,579.0
514.0,502.0,521.0,504.0,552.0
512.0,503.0,519.0,511.0,523.0
519.0,506.0,518.0,521.0,491.0
522.0,505.0,512.0,527.0,452.0
524.0,507.0,508.0,532.0,437.0
520.0,508.0,508.0,531.0,425.0
513.0,500.0,496.0,528.0,431.0
516.0,503.0,497.0,528.0,433.0
501.0,498.0,494.0,518.0,461.0
501.0,500.0,500.0,510.0,500.0
499.0,504.0,510.0,505.0,544.0
502.0,509.0,519.0,501.0,575.0
505.0,512.0,526.0,499.0,587.0
508.0,509.0,522.0,497.0,582.0
509.0,504.0,525.0,497.0,586.0
514.0,507.0,523.0,496.0,579.0
511.0,505.0,526.0,500.0,570.0
513.0,505.0,523.0,507.0,544.0
517.0,506.0,519.0,512.0,514.0
522.0,505.0,516.0,518.0,476.0
524.0,507.0,509.0,530.0,446.0
525.0,504.0,506.0,532.0,427.0
523.0,504.0,500.0,531.0,421.0
515.0,503.0,501.0,527.0,429.0
510.0,499.0,495.0,524.0,435.0
501.0,497.0,494.0,513.0,472.0
500.0,504.0,503.0,505.0,514.0
504.0,507.0,514.0,505.0,553.0
508.0,510.0,522.0,499.0,586.0
510.0,510.0,523.0,498.0,587.0
511.0,509.0,526.0,500.0,585.0
510.0,507.0,523.0,495.0,584.0
518.0,511.0,524.0,501.0,575.0
510.0,502.0,521.0,502.0,563.0
516.0,502.0,520.0,508.0,534.0
515.0,505.0,516.0,513.0,503.0
520.0,505.0,514.0,524.0,465.0
525.0,507.0,511.0,529.0,439.0
523.0,508.0,509.0,534.0,425.0
511.0,503.0,501.0,529.0,427.0
510.0,502.0,498.0,529.0,428.0
498.0,495.0,492.0,518.0,449.0
493.0,496.0,496.0,511.0,488.0
495.0,504.0,504.0,503.0,527.0
497.0,506.0,517.0,500.0,568.0
511.0,510.0,525.0,500.0,590.0
520.0,508.0,521.0,498.0,584.0
516.0,511.0,524.0,498.0,582.0
511.0,505.0,526.0,498.0,582.0
514.0,507.0,524.0,498.0,574.0
512.0,504.0,519.0,503.0,554.0
515.0,504.0,523.0,511.0,524.0
522.0,503.0,516.0,516.0,491.0
526.0,507.0,512.0,530.0,448.0
524.0,507.0,511.0,531.0,433.0
523.0,509.0,508.0,535.0,423.0
510.0,502.0,498.0,526.0,431.0
507.0,498.0,501.0,527.0,436.0
499.0,499.0,495.0,515.0,462.0
489.0,497.0,499.0,506.0,503.0
493.0,504.0,508.0,503.0,541.0
499.0,512.0,522.0,503.0,573.0
510.0,504.0,522.0,498.0,585.0
513.0,508.0,523.0,498.0,585.0
504.0,504.0,524.0,500.0,586.0
505.0,505.0,525.0,498.0,575.0
508.0,503.0,523.0,500.0,568.0
518.0,504.0,521.0,504.0,543.0
521.0,507.0,518.0,514.0,515.0
532.0,506.0,512.0,523.0,471.0
531.0,509.0,511.0,531.0,440.0
537.0,508.0,508.0,532.0,429.0
531.0,503.0,505.0,534.0,424.0
522.0,502.0,496.0,527.0,428.0
514.0,502.0,498.0,525.0,436.0
499.0,502.0,496.0,514.0,478.0
495.0,499.0,501.0,505.0,522.0
500.0,506.0,514.0,501.0,556.0
508.0,512.0,524.0,501.0,586.0
509.0,509.0,526.0,501.0,583.0
509.0,507.0,526.0,501.0,579.0
506.0,506.0,524.0,496.0,585.0
507.0,504.0,522.0,498.0,586.0
510.0,508.0,523.0,502.0,560.0
513.0,507.0,520.0,510.0,529.0
517.0,500.0,515.0,513.0,498.0
523.0,506.0,515.0,525.0,458.0
524.0,506.0,512.0,533.0,434.0
523.0,508.0,507.0,535.0,428.0
513.0,502.0,497.0,527.0,432.0
511.0,499.0,498.0,528.0,432.0
502.0,497.0,493.0,516.0,455.0
499.0,501.0,498.0,514.0,493.0
498.0,503.0,508.0,507.0,534.0
502.0,506.0,516.0,499.0,573.0
506.0,513.0,524.0,499.0,589.0
509.0,513.0,525.0,501.0,583.0
505.0,508.0,525.0,501.0,582.0
508.0,501.0,522.0,496.0,584.0
512.0,501.0,520.0,497.0,573.0
501.0,503.0,522.0,501.0,555.0
520.0,506.0,519.0,512.0,521.0
518.0,506.0,517.0,523.0,484.0
522.0,505.0,513.0,528.0,447.0
521.0,508.0,508.0,528.0,436.0
530.0,509.0,507.0,531.0,425.0
515.0,501.0,498.0,527.0,430.0
513.0,503.0,498.0,527.0,430.0
499.0,498.0,493.0,517.0,466.0
501.0,500.0,500.0,509.0,503.0
502.0,506.0,510.0,504.0,547.0
501.0,509.0,520.0,504.0,586.0
504.0,509.0,523.0,496.0,590.0
508.0,510.0,525.0,500.0,582.0
505.0,506.0,520.0,499.0,585.0
512.0,511.0,524.0,499.0,575.0
511.0,506.0,525.0,502.0,567.0
514.0,506.0,523.0,506.0,540.0
518.0,505.0,518.0,513.0,510.0
526.0,505.0,514.0,524.0,470.0
522.0,510.0,511.0,532.0,438.0
524.0,512.0,511.0,536.0,427.0
518.0,504.0,504.0,532.0,428.0
511.0,499.0,496.0,524.0,435.0
507.0,499.0,494.0,522.0,443.0
501.0,497.0,493.0,512.0,477.0
499.0,504.0,504.0,507.0,518.0
497.0,507.0,514.0,502.0,560.0
505.0,509.0,524.0,500.0,588.0
505.0,506.0,523.0,500.0,588.0
512.0,507.0,524.0,498.0,581.0
510.0,504.0,523.0,497.0,578.0
509.0,508.0,525.0,500.0,579.0
508.0,505.0,520.0,500.0,559.0
510.0,501.0,518.0,506.0,531.0
516.0,504.0,517.0,514.0,499.0
520.0,505.0,516.0,526.0,460.0
522.0,506.0,507.0,531.0,437.0
518.0,507.0,508.0,534.0,426.0
511.0,499.0,500.0,530.0,429.0
506.0,501.0,497.0,527.0,431.0
505.0,498.0,493.0,517.0,452.0
503.0,498.0,497.0,510.0,489.0
503.0,506.0,507.0,504.0,536.0
501.0,507.0,516.0,501.0,573.0
512.0,509.0,522.0,498.0,591.0
509.0,509.0,525.0,500.0,590.0
513.0,510.0,524.0,499.0,589.0
514.0,506.0,523.0,494.0,582.0
515.0,509.0,524.0,499.0,574.0
513.0,505.0,520.0,501.0,552.0
515.0,504.0,516.0,507.0,520.0
520.0,504.0,514.0,521.0,486.0
525.0,505.0,507.0,525.0,445.0
524.0,504.0,508.0,530.0,431.0
524.0,506.0,502.0,531.0,423.0
514.0,499.0,497.0,527.0,429.0
511.0,501.0,497.0,526.0,429.0
503.0,498.0,493.0,515.0,465.0
504.0,499.0,500.0,508.0,505.0
501.0,505.0,514.0,505.0,549.0
507.0,510.0,521.0,501.0,583.0
514.0,510.0,523.0,498.0,589.0
506.0,507.0,524.0,499.0,586.0
507.0,504.0,522.0,498.0,583.0
506.0,505.0,523.0,498.0,578.0
512.0,505.0,522.0,501.0,564.0
513.0,504.0,517.0,503.0,537.0
