CH1,CH2,CH3,CH4,CH5
505.0,518.0,514.0,501.0,553.0
508.0,518.0,519.0,500.0,550.0
513.0,516.0,520.0,500.0,544.0
513.0,513.0,521.0,500.0,542.0
511.0,507.0,518.0,499.0,540.0
513.0,506.0,518.0,501.0,532.0
514.0,504.0,518.0,509.0,521.0
515.0,501.0,514.0,516.0,505.0
519.0,499.0,516.0,520.0,485.0
524.0,497.0,515.0,530.0,472.0
522.0,499.0,514.0,532.0,469.0
520.0,500.0,510.0,535.0,469.0
514.0,497.0,503.0,528.0,473.0
508.0,495.0,498.0,522.0,483.0
504.0,502.0,498.0,514.0,507.0
499.0,505.0,499.0,505.0,526.0
503.0,515.0,507.0,507.0,541.0
506.0,519.0,514.0,499.0,553.0
509.0,514.0,520.0,499.0,548.0
512.0,513.0,524.0,501.0,545.0
514.0,511.0,522.0,501.0,542.0
508.0,506.0,518.0,499.0,542.0
510.0,504.0,517.0,503.0,532.0
512.0,501.0,518.0,509.0,516.0
517.0,499.0,517.0,516.0,495.0
522.0,499.0,518.0,523.0,474.0
522.0,497.0,515.0,531.0,467.0
523.0,500.0,513.0,533.0,467.0
517.0,497.0,507.0,529.0,470.0
511.0,497.0,504.0,524.0,476.0
503.0,495.0,495.0,517.0,492.0
502.0,502.0,496.0,511.0,512.0
500.0,508.0,503.0,504.0,532.0
504.0,513.0,513.0,500.0,547.0
507.0,517.0,519.0,498.0,555.0
510.0,514.0,519.0,501.0,547.0
516.0,515.0,522.0,501.0,543.0
510.0,510.0,520.0,501.0,542.0
507.0,506.0,518.0,501.0,540.0
509.0,502.0,516.0,502.0,526.0
515.0,501.0,517.0,509.0,510.0
519.0,499.0,519.0,520.0,490.0
525.0,497.0,518.0,528.0,473.0
524.0,499.0,515.0,533.0,466.0
524.0,501.0,512.0,533.0,465.0
518.0,500.0,505.0,529.0,470.0
512.0,496.0,501.0,525.0,478.0
501.0,495.0,496.0,515.0,500.0
498.0,502.0,498.0,504.0,520.0
503.0,511.0,509.0,504.0,538.0
507.0,520.0,516.0,501.0,551.0
507.0,517.0,519.0,501.0,548.0
512.0,515.0,521.0,499.0,543.0
512.0,511.0,519.0,499.0,542.0
506.0,509.0,518.0,499.0,541.0
510.0,505.0,518.0,497.0,534.0
513.0,503.0,519.0,507.0,521.0
516.0,498.0,516.0,513.0,504.0
520.0,499.0,518.0,521.0,483.0
522.0,498.0,516.0,530.0,468.0
526.0,500.0,514.0,533.0,463.0
521.0,500.0,513.0,532.0,466.0
515.0,498.0,503.0,529.0,474.0
507.0,494.0,499.0,519.0,483.0
505.0,498.0,497.0,514.0,505.0
500.0,506.0,501.0,506.0,526.0
502.0,517.0,508.0,503.0,544.0
505.0,520.0,518.0,501.0,554.0
510.0,516.0,520.0,501.0,546.0
511.0,513.0,522.0,502.0,543.0
513.0,513.0,521.0,500.0,543.0
510.0,508.0,519.0,501.0,543.0
510.0,503.0,520.0,502.0,533.0
513.0,500.0,516.0,506.0,513.0
518.0,499.0,518.0,518.0,498.0
522.0,502.0,518.0,526.0,477.0
524.0,497.0,516.0,532.0,468.0
523.0,502.0,515.0,534.0,464.0
517.0,503.0,508.0,531.0,468.0
512.0,497.0,500.0,528.0,476.0
503.0,494.0,493.0,515.0,490.0
502.0,501.0,498.0,507.0,513.0
