CH1,CH2,CH3,CH4,CH5
501,515,513,531,527
501,515,501,515,528
497,508,488,501,529
498,501,482,491,523
498,501,477,484,522
503,498,481,481,517
508,494,483,477,516
513,492,488,477,515
517,492,499,485,507
522,489,511,499,506
527,500,526,514,497
534,509,543,532,497
533,512,557,546,499
530,519,555,554,504
523,520,553,553,504
519,523,546,554,508
505,515,524,538,520
497,511,512,524,521
495,511,497,510,523
496,508,487,499,523
494,501,480,484,528
498,495,478,483,527
505,497,483,479,520
510,494,485,476,519
519,491,491,478,512
528,492,506,491,508
526,495,515,502,502
528,502,529,518,500
532,511,547,538,501
526,515,553,550,503
526,521,555,560,502
517,522,551,553,513
515,521,538,548,525
502,519,519,533,525
494,511,504,518,517
493,509,491,505,527
494,506,484,490,526
497,501,479,485,522
505,498,479,479,516
509,494,481,475,514
510,491,485,474,509
513,490,495,482,506
519,494,508,495,503
526,500,522,508,497
532,506,535,525,492
530,513,549,541,492
529,520,552,551,500
527,522,553,555,506
521,526,546,559,510
506,518,532,544,524
497,514,516,531,533
495,516,502,517,536
497,508,489,504,528
500,504,482,495,528
505,498,477,486,526
509,499,478,478,520
507,492,481,475,516
510,490,486,477,509
516,493,497,486,506
517,494,509,498,499
527,501,526,516,497
531,508,543,531,491
534,514,550,546,492
535,522,554,555,500
521,521,553,555,508
515,522,543,553,511
500,519,524,539,527
496,514,509,529,531
495,508,494,509,529
498,508,487,498,526
500,503,480,488,523
500,498,478,485,520
503,492,479,476,517
507,489,481,475,510
509,489,489,478,509
515,493,504,490,508
525,498,518,505,504
530,504,532,521,497
537,509,544,537,492
532,516,553,547,496
528,520,554,556,502
524,523,549,556,511
515,519,538,548,520
505,517,521,535,529
499,510,504,520,538
496,509,492,507,533
493,509,483,495,533
496,502,480,487,525
505,499,482,481,521
503,495,483,477,521
505,493,486,477,516
511,490,495,481,512
519,499,508,496,504
526,501,523,512,495
527,505,536,527,484
533,514,553,542,487
528,519,553,554,498
524,522,553,557,504
518,523,552,555,510
505,518,531,544,523
497,514,515,531,528
497,514,505,518,526
499,509,491,502,525
498,503,481,493,525
499,500,479,483,521
502,497,482,481,513
505,494,484,478,511
512,493,488,480,509
515,491,499,487,507
523,495,512,499,502
531,505,528,516,501
528,508,545,532,497
528,515,553,546,498
529,520,556,556,501
528,525,552,556,500
520,521,544,553,501
506,516,526,541,525
499,515,511,526,526
494,510,497,511,533
495,508,488,499,532
496,503,481,494,523
499,499,479,482,525
508,496,482,478,516
510,493,483,477,511
514,492,492,481,505
518,494,505,492,509
523,496,517,505,502
531,503,533,522,500
534,512,548,538,491
531,516,554,550,493
526,521,553,555,503
521,523,550,555,510
513,519,538,548,520
506,518,520,535,527
500,513,503,521,531
497,508,492,509,536
498,508,485,495,535
498,501,480,486,526
502,498,481,482,518
507,494,483,479,515
509,491,486,478,512
513,489,494,481,504
521,495,507,493,500
529,500,523,509,499
