CH1,CH2,CH3,CH4,CH5
521,499,499,492,504
531,502,521,507,505
532,508,548,521,494
533,513,571,532,491
533,518,587,541,496
533,519,589,542,501
523,516,577,539,509
499,514,551,532,520
491,510,527,525,526
500,513,502,518,534
501,509,481,509,535
496,506,463,500,530
495,501,454,493,528
499,502,456,491,521
509,496,457,487,521
511,492,462,484,512
514,495,486,492,497
521,498,506,500,499
525,508,531,513,511
528,511,559,527,501
529,513,577,535,495
525,516,590,539,496
524,516,583,541,486
526,515,573,541,496
506,508,544,528,513
494,509,518,521,536
479,510,496,515,548
480,509,477,507,550
483,505,465,498,539
488,503,458,495,526
499,498,455,489,521
514,495,459,486,512
530,494,473,490,492
525,494,488,493,490
530,498,512,502,488
542,504,537,515,489
551,513,565,528,481
544,515,583,536,463
539,520,590,544,487
535,520,587,545,516
512,517,566,539,538
482,516,544,531,574
469,514,516,521,606
489,513,490,512,578
506,510,473,506,525
503,502,455,496,527
485,499,452,491,540
501,498,456,492,515
512,499,463,493,504
525,499,484,495,513
529,500,502,499,519
534,506,527,515,493
528,509,550,526,452
525,512,573,538,434
538,521,590,546,435
534,522,589,547,451
510,521,584,544,481
509,510,553,531,503
511,505,523,523,520
510,505,498,516,524
510,503,472,512,503
513,504,462,506,514
495,500,457,494,544
498,500,460,492,536
505,493,456,487,544
513,495,459,485,523
523,493,479,491,490
510,498,504,500,487
512,503,529,511,487
524,509,556,526,493
521,516,579,537,492
522,521,589,545,522
519,515,581,542,534
521,517,573,540,541
504,513,547,531,538
473,508,515,517,565
478,508,493,513,552
487,510,477,512,520
500,505,461,503,497
508,501,454,498,491
504,499,455,494,514
496,494,460,489,533
493,497,472,491,557
502,501,496,500,554
516,506,515,506,523
535,500,533,514,467
541,508,561,528,457
543,516,580,542,478
541,520,589,543,528
535,524,587,546,523
517,522,570,538,563
508,518,542,531,559
502,518,521,524,591
509,519,495,519,554
506,513,474,509,523
506,507,458,502,535
522,505,458,497,559
516,498,460,496,511
511,488,455,491,481
501,492,466,496,440
487,495,496,507,499
514,503,526,517,472
507,509,549,524,522
521,514,575,536,473
541,515,580,539,378
557,519,585,544,447
572,522,580,548,495
520,515,556,528,581
490,516,533,519,614
477,512,507,514,606
505,511,485,513,550
539,507,463,503,480
522,492,443,485,466
526,489,441,484,424
507,488,450,492,366
513,492,462,495,415
508,490,478,499,367
525,502,506,509,404
501,506,537,518,560
536,513,563,524,567
573,520,589,538,568
567,511,582,528,537
562,511,570,526,516
546,515,570,536,538
537,510,545,524,591
512,505,516,518,544
471,502,491,511,504
460,506,474,513,467
473,505,461,507,461
495,509,463,517,438
489,507,468,518,458
479,497,459,495,536
496,480,456,483,486
518,478,473,485,547
520,489,504,498,526
507,499,533,505,623
470,504,561,512,618
484,513,582,525,539
509,520,589,535,480
564,517,581,539,468
555,507,556,522,553
509,508,535,515,612
501,515,511,501,621
501,514,493,503,527
471,514,476,509,542
498,509,462,509,517
530,507,462,509,429
514,505,456,498,495
504,489,445,484,490
538,479,458,479,534
493,475,471,482,538
494,487,502,500,484
550,502,537,511,588
555,511,570,526,562
538,516,587,531,562
521,516,589,529,555
440,514,583,542,578
434,519,565,537,584
516,512,536,528,580
569,515,507,529,487
551,503,476,524,500
463,486,454,524,445
452,484,447,509,489
498,499,458,516,537
529,505,465,521,458
512,494,465,513,484
484,480,464,490,468
485,488,491,502,403
563,520,539,502,432
614,525,565,493,516
616,519,573,485,669
498,513,590,517,716
465,521,606,546,800
457,499,573,531,757
429,489,531,523,599
453,500,519,545,449
493,512,500,536,240
539,509,485,538,365
542,508,469,526,388
544,506,455,489,482
528,488,438,449,550
500,482,435,440,564
493,487,455,470,585
496,494,482,476,616
505,495,505,492,611
510,495,529,482,611
521,506,560,494,513
490,515,586,517,468
483,516,594,529,530
432,515,592,539,528
431,514,578,547,447
489,515,550,534,424
508,491,496,507,431
539,500,484,530,549
461,496,463,507,661
483,498,457,525,383
498,497,448,501,388
490,502,459,503,430
476,512,472,489,517
432,494,475,469,617
532,496,494,478,472
570,486,505,485,368
567,486,526,481,486
569,510,567,484,622
547,516,591,527,548
433,492,568,506,647
504,501,564,510,601
561,507,552,520,467
560,521,541,527,438
519,514,506,507,473
461,505,478,491,486
433,512,471,499,517
485,509,457,492,567
439,485,444,489,557
428,482,443,485,499
406,474,446,469,555
459,488,474,481,499
424,484,497,500,514
477,505,540,531,427
623,514,563,542,320
576,485,550,500,432
523,512,578,499,527
455,518,590,533,571
402,512,577,530,666
342,490,540,519,649
317,498,520,516,576
381,510,509,510,480
317,501,481,510,481
324,479,444,498,453
490,498,455,518,568
561,499,452,494,589
541,484,440,469,468
607,509,474,489,418
644,511,501,495,437
656,500,512,472,489
626,497,528,486,544
680,519,570,528,605
631,530,595,546,593
563,510,583,536,467
558,509,577,550,375
525,516,584,535,418
535,512,555,528,475
584,500,507,503,534
609,497,472,478,537
479,491,455,483,539
487,500,450,477,540
504,505,456,488,506
491,495,454,483,583
515,496,455,474,554
541,501,477,490,530
531,497,498,490,491
531,493,516,481,601
599,513,546,501,618
585,521,579,531,663
506,500,585,548,604
412,493,591,586,354
491,491,567,557,358
514,500,544,525,359
564,527,538,500,564
551,527,516,499,519
542,516,489,522,456
493,492,457,514,331
490,488,443,481,474
523,493,446,465,636
529,498,456,489,587
555,504,463,494,352
559,503,494,505,381
523,490,502,506,484
533,507,535,529,515
587,521,569,534,549
576,511,571,507,572
524,521,594,539,712
510,526,599,549,684
442,500,563,517,448
400,487,530,499,447
436,506,521,504,501
455,494,489,498,452
490,490,459,497,505
528,493,445,486,606
568,507,450,480,577
529,516,470,510,648
477,496,466,505,642
415,479,469,515,451
382,470,475,498,457
463,493,511,517,449
570,514,541,514,492
610,519,563,505,444
616,528,586,510,407
508,524,602,554,371
429,516,593,554,497
389,506,569,530,629
505,502,542,527,675
544,495,499,499,647
524,500,484,518,338
581,513,478,515,364
542,504,461,494,427
542,509,467,498,475
515,509,475,505,585
537,494,462,476,595
567,494,471,470,501
549,491,492,476,527
547,495,520,506,450
571,502,540,506,465
571,513,566,519,461
512,505,572,534,498
504,518,590,549,590
490,520,579,556,590
452,507,555,560,605
387,499,524,521,640
383,507,511,509,658
388,483,471,508,469
478,486,456,501,211
554,504,468,509,342
581,506,464,478,553
562,493,465,476,520
531,481,464,467,477
516,487,482,473,544
547,498,511,501,528
545,506,539,522,518
552,510,558,527,533
503,525,585,547,542
553,549,600,559,550
558,538,583,534,585
468,506,550,512,482
430,486,520,528,274
443,486,495,519,599
447,498,488,518,576
476,504,483,512,575
508,500,465,496,587
522,496,468,505,459
552,502,475,500,381
530,504,481,491,505
462,496,486,494,520
433,495,512,517,552
431,483,512,517,473
527,494,522,494,408
635,517,548,498,392
637,514,564,528,456
561,523,577,543,488
516,525,575,553,465
418,509,557,533,499
392,506,530,506,562
385,508,512,503,554
439,516,503,513,549
537,513,480,525,613
574,505,464,493,581
549,492,457,490,469
600,500,461,492,395
580,495,465,486,488
553,499,485,495,505
518,498,506,499,482
539,500,521,499,517
643,508,539,503,464
598,515,564,520,542
578,529,589,537,484
582,529,592,550,461
526,522,581,541,458
481,513,557,513,551
444,503,528,511,604
465,503,498,514,520
429,495,479,510,418
479,505,472,514,492
481,508,464,501,574
461,503,464,512,520
517,490,455,505,437
523,491,465,492,555
584,489,478,482,599
580,495,508,520,381
561,515,544,534,315
577,522,560,525,460
525,517,577,517,598
526,516,583,534,447
540,515,578,537,448
554,526,578,530,516
578,520,551,516,530
530,506,519,506,514
435,494,490,499,530
457,514,491,522,572
549,498,462,511,602
531,482,441,496,500
510,495,458,489,500
516,497,467,491,491
499,494,476,507,432
515,497,494,501,471
522,500,513,506,519
479,501,536,513,535
508,501,555,523,423
570,512,575,529,468
549,522,589,540,500
533,522,585,538,442
535,518,579,553,365
403,497,541,530,524
405,505,514,517,540
426,509,497,520,563
449,505,475,511,542
537,513,468,494,516
531,512,466,495,454
511,503,465,484,583
504,489,460,494,518
582,487,468,482,449
577,493,493,519,455
541,505,532,552,476
497,497,542,538,445
512,502,558,499,442
571,525,588,518,473
553,527,594,521,511
542,518,586,547,414
471,491,545,522,478
536,505,524,505,557
518,509,508,505,549
512,506,484,497,533
486,500,465,502,551
464,496,458,502,507
457,499,464,508,464
483,501,465,495,550
530,498,468,494,608
507,493,485,499,639
526,500,507,497,569
568,511,536,510,424
551,512,556,518,450
604,523,580,531,466
607,515,584,539,462
541,520,584,539,477
445,512,572,537,403
430,503,548,528,436
408,499,516,510,536
403,504,499,507,547
477,511,483,510,521
502,505,471,506,581
510,507,461,501,628
587,511,459,484,598
563,498,465,508,419
545,488,471,510,325
522,496,491,498,480
483,496,512,494,512
510,508,536,508,540
521,504,556,524,410
539,509,573,532,403
575,528,594,540,469
541,524,586,542,507
547,519,571,526,520
530,511,539,516,473
501,502,508,519,411
503,507,492,522,425
487,505,475,512,555
470,506,470,513,509
462,498,462,505,513
501,505,473,522,452
461,498,468,494,579
485,485,467,474,528
542,487,488,490,533
545,497,513,502,570
586,518,550,532,503
587,520,569,537,482
578,513,574,540,438
556,522,586,525,534
582,534,590,532,476
572,519,564,528,499
473,494,526,520,530
415,499,500,506,513
410,503,485,517,503
407,498,468,519,465
413,489,453,508,539
