CH1,CH2,CH3,CH4,CH5
535.0,520.0,535.0,541.0,484.0
537.0,526.0,546.0,553.0,477.0
536.0,523.0,542.0,555.0,486.0
518.0,518.0,531.0,538.0,496.0
502.0,504.0,518.0,528.0,513.0
487.0,494.0,504.0,504.0,533.0
483.0,493.0,497.0,496.0,537.0
489.0,494.0,499.0,492.0,534.0
508.0,503.0,496.0,496.0,529.0
523.0,512.0,501.0,503.0,517.0
527.0,514.0,503.0,504.0,513.0
527.0,511.0,504.0,503.0,518.0
514.0,503.0,504.0,494.0,534.0
508.0,498.0,500.0,490.0,535.0
508.0,498.0,512.0,501.0,519.0
513.0,503.0,518.0,513.0,504.0
524.0,515.0,528.0,528.0,486.0
537.0,523.0,540.0,550.0,481.0
541.0,527.0,543.0,557.0,480.0
537.0,528.0,540.0,551.0,483.0
512.0,509.0,525.0,534.0,503.0
499.0,500.0,514.0,522.0,515.0
485.0,492.0,505.0,502.0,529.0
486.0,496.0,495.0,494.0,539.0
490.0,495.0,493.0,491.0,548.0
507.0,505.0,498.0,496.0,534.0
531.0,511.0,505.0,505.0,520.0
529.0,514.0,506.0,505.0,514.0
519.0,506.0,508.0,499.0,515.0
508.0,499.0,505.0,492.0,520.0
506.0,499.0,506.0,498.0,522.0
507.0,501.0,511.0,507.0,518.0
517.0,509.0,521.0,518.0,509.0
531.0,520.0,536.0,541.0,490.0
543.0,527.0,545.0,552.0,483.0
545.0,525.0,543.0,554.0,485.0
534.0,520.0,536.0,549.0,495.0
511.0,508.0,521.0,526.0,513.0
502.0,499.0,511.0,515.0,527.0
487.0,494.0,498.0,498.0,537.0
490.0,493.0,496.0,494.0,527.0
500.0,500.0,498.0,493.0,518.0
513.0,504.0,500.0,504.0,507.0
519.0,513.0,504.0,503.0,502.0
517.0,510.0,505.0,505.0,521.0
508.0,504.0,504.0,498.0,526.0
501.0,500.0,501.0,493.0,537.0
502.0,500.0,508.0,500.0,546.0
514.0,507.0,519.0,511.0,521.0
523.0,510.0,528.0,523.0,508.0
538.0,524.0,535.0,542.0,496.0
539.0,525.0,542.0,553.0,491.0
543.0,525.0,541.0,552.0,490.0
522.0,515.0,532.0,538.0,500.0
505.0,503.0,519.0,522.0,517.0
495.0,497.0,503.0,505.0,534.0
489.0,493.0,496.0,498.0,542.0
494.0,494.0,494.0,494.0,541.0
497.0,506.0,498.0,497.0,531.0
512.0,506.0,501.0,507.0,521.0
514.0,511.0,507.0,503.0,520.0
521.0,508.0,503.0,501.0,519.0
507.0,503.0,502.0,494.0,522.0
504.0,497.0,502.0,492.0,520.0
506.0,502.0,508.0,501.0,513.0
517.0,507.0,518.0,516.0,504.0
525.0,514.0,529.0,533.0,494.0
535.0,522.0,538.0,547.0,483.0
542.0,524.0,543.0,555.0,476.0
537.0,523.0,537.0,551.0,487.0
514.0,510.0,523.0,530.0,508.0
500.0,500.0,519.0,522.0,518.0
491.0,493.0,499.0,500.0,530.0
493.0,495.0,492.0,494.0,534.0
495.0,497.0,495.0,494.0,533.0
509.0,505.0,500.0,499.0,521.0
515.0,509.0,502.0,504.0,516.0
519.0,515.0,508.0,507.0,508.0
516.0,506.0,506.0,497.0,520.0
504.0,499.0,502.0,497.0,524.0
505.0,499.0,508.0,502.0,517.0
507.0,506.0,512.0,507.0,517.0
518.0,507.0,523.0,519.0,506.0
533.0,518.0,534.0,541.0,491.0
545.0,526.0,543.0,553.0,486.0
540.0,526.0,545.0,555.0,488.0
528.0,519.0,534.0,541.0,498.0
512.0,507.0,519.0,526.0,516.0
500.0,498.0,510.0,513.0,527.0
491.0,492.0,498.0,499.0,529.0
493.0,494.0,494.0,496.0,526.0
499.0,499.0,494.0,495.0,521.0
513.0,509.0,501.0,503.0,510.0
517.0,509.0,503.0,504.0,509.0
521.0,514.0,509.0,506.0,507.0
508.0,499.0,502.0,496.0,521.0
503.0,498.0,502.0,492.0,530.0
506.0,500.0,508.0,500.0,529.0
510.0,510.0,518.0,512.0,521.0
524.0,511.0,525.0,526.0,504.0
537.0,523.0,539.0,546.0,490.0
541.0,525.0,542.0,553.0,485.0
541.0,525.0,541.0,555.0,484.0
521.0,512.0,527.0,535.0,502.0
498.0,499.0,520.0,523.0,514.0
488.0,493.0,499.0,504.0,526.0
481.0,492.0,496.0,495.0,533.0
486.0,498.0,493.0,492.0,534.0
504.0,502.0,496.0,497.0,532.0
517.0,508.0,503.0,505.0,526.0
527.0,517.0,505.0,502.0,519.0
521.0,508.0,505.0,500.0,520.0
505.0,503.0,501.0,493.0,523.0
503.0,495.0,502.0,495.0,523.0
510.0,498.0,509.0,505.0,517.0
517.0,508.0,517.0,516.0,509.0
531.0,519.0,533.0,535.0,492.0
545.0,525.0,539.0,547.0,482.0
546.0,527.0,542.0,553.0,487.0
537.0,522.0,540.0,548.0,496.0
513.0,512.0,525.0,530.0,519.0
502.0,501.0,511.0,519.0,526.0
488.0,493.0,500.0,498.0,532.0
494.0,493.0,494.0,492.0,530.0
501.0,500.0,493.0,492.0,523.0
518.0,506.0,499.0,500.0,517.0
514.0,509.0,503.0,504.0,518.0
520.0,511.0,508.0,509.0,516.0
509.0,504.0,507.0,497.0,527.0
502.0,501.0,503.0,494.0,531.0
508.0,498.0,506.0,496.0,524.0
505.0,505.0,512.0,507.0,515.0
519.0,512.0,523.0,520.0,502.0
540.0,525.0,538.0,545.0,483.0
546.0,526.0,545.0,552.0,458.0
542.0,525.0,546.0,554.0,466.0
532.0,517.0,537.0,545.0,483.0
508.0,504.0,519.0,529.0,522.0
492.0,497.0,510.0,511.0,545.0
485.0,492.0,497.0,499.0,539.0
497.0,500.0,495.0,491.0,538.0
506.0,499.0,495.0,495.0,534.0
514.0,507.0,500.0,502.0,525.0
519.0,514.0,503.0,504.0,520.0
521.0,512.0,506.0,503.0,517.0
512.0,501.0,503.0,495.0,524.0
502.0,498.0,500.0,491.0,532.0
503.0,500.0,512.0,505.0,529.0
515.0,503.0,517.0,516.0,515.0
522.0,513.0,528.0,531.0,502.0
537.0,520.0,542.0,544.0,487.0
543.0,526.0,544.0,552.0,474.0
540.0,523.0,543.0,553.0,475.0
524.0,511.0,529.0,534.0,495.0
502.0,502.0,517.0,525.0,512.0
488.0,494.0,502.0,504.0,536.0
488.0,490.0,494.0,496.0,539.0
494.0,495.0,493.0,492.0,534.0
504.0,503.0,499.0,497.0,526.0
512.0,512.0,503.0,501.0,522.0
518.0,513.0,507.0,506.0,518.0
517.0,510.0,505.0,500.0,522.0
510.0,501.0,503.0,496.0,520.0
506.0,497.0,504.0,500.0,526.0
506.0,496.0,513.0,504.0,514.0
517.0,504.0,519.0,519.0,510.0
532.0,518.0,532.0,535.0,492.0
541.0,525.0,542.0,550.0,484.0
537.0,524.0,542.0,554.0,484.0
531.0,526.0,533.0,547.0,490.0
513.0,511.0,522.0,530.0,510.0
503.0,500.0,517.0,521.0,524.0
489.0,494.0,499.0,502.0,539.0
488.0,492.0,496.0,495.0,548.0
493.0,499.0,496.0,493.0,544.0
506.0,509.0,505.0,502.0,528.0
511.0,507.0,501.0,505.0,519.0
520.0,512.0,511.0,506.0,510.0
513.0,511.0,505.0,497.0,509.0
506.0,501.0,501.0,498.0,511.0
507.0,499.0,510.0,496.0,516.0
509.0,505.0,519.0,503.0,516.0
519.0,508.0,523.0,523.0,505.0
534.0,520.0,536.0,541.0,489.0
540.0,527.0,544.0,554.0,480.0
541.0,525.0,544.0,555.0,482.0
526.0,516.0,535.0,540.0,499.0
511.0,505.0,519.0,525.0,512.0
500.0,495.0,508.0,510.0,526.0
488.0,493.0,499.0,497.0,535.0
493.0,496.0,495.0,492.0,534.0
501.0,498.0,494.0,494.0,530.0
514.0,505.0,501.0,502.0,523.0
516.0,510.0,503.0,507.0,520.0
520.0,509.0,504.0,504.0,518.0
505.0,503.0,504.0,495.0,522.0
498.0,498.0,502.0,493.0,528.0
504.0,500.0,508.0,501.0,519.0
513.0,504.0,523.0,515.0,512.0
519.0,513.0,527.0,529.0,506.0
538.0,524.0,543.0,548.0,493.0
548.0,527.0,544.0,556.0,486.0
541.0,524.0,543.0,552.0,487.0
520.0,508.0,526.0,534.0,506.0
507.0,502.0,516.0,524.0,515.0
492.0,490.0,501.0,505.0,528.0
487.0,492.0,494.0,499.0,534.0
493.0,498.0,494.0,492.0,528.0
501.0,504.0,497.0,498.0,526.0
511.0,508.0,505.0,506.0,515.0
517.0,517.0,506.0,505.0,515.0
511.0,505.0,505.0,502.0,524.0
510.0,501.0,503.0,496.0,525.0
514.0,499.0,504.0,497.0,523.0
511.0,504.0,512.0,507.0,513.0
515.0,510.0,522.0,522.0,507.0
529.0,520.0,534.0,536.0,495.0
541.0,524.0,543.0,551.0,489.0
541.0,526.0,544.0,556.0,484.0
532.0,524.0,536.0,547.0,486.0
515.0,508.0,523.0,530.0,506.0
502.0,502.0,513.0,517.0,523.0
490.0,491.0,499.0,501.0,537.0
490.0,494.0,495.0,497.0,538.0
495.0,499.0,498.0,493.0,533.0
511.0,506.0,500.0,500.0,526.0
519.0,513.0,506.0,503.0,516.0
526.0,512.0,507.0,507.0,505.0
513.0,502.0,504.0,497.0,524.0
504.0,501.0,506.0,495.0,528.0
505.0,501.0,508.0,497.0,533.0
511.0,505.0,516.0,509.0,513.0
520.0,509.0,522.0,525.0,505.0
536.0,519.0,535.0,542.0,490.0
538.0,525.0,539.0,552.0,483.0
538.0,524.0,543.0,555.0,488.0
526.0,516.0,531.0,540.0,504.0
509.0,505.0,525.0,525.0,519.0
494.0,493.0,505.0,506.0,534.0
490.0,492.0,497.0,501.0,536.0
492.0,493.0,497.0,497.0,533.0
506.0,498.0,497.0,498.0,523.0
515.0,508.0,503.0,504.0,509.0
515.0,510.0,506.0,503.0,509.0
520.0,508.0,501.0,504.0,511.0
512.0,500.0,504.0,498.0,520.0
500.0,500.0,503.0,493.0,533.0
507.0,499.0,512.0,503.0,527.0
515.0,506.0,520.0,519.0,511.0
522.0,512.0,530.0,531.0,494.0
544.0,524.0,544.0,548.0,471.0
546.0,527.0,547.0,556.0,458.0
542.0,524.0,544.0,554.0,470.0
518.0,509.0,528.0,531.0,512.0
508.0,503.0,517.0,521.0,523.0
489.0,493.0,500.0,504.0,543.0
489.0,494.0,497.0,496.0,542.0
493.0,497.0,496.0,499.0,531.0
505.0,502.0,499.0,503.0,524.0
513.0,510.0,502.0,503.0,519.0
517.0,512.0,508.0,506.0,516.0
509.0,506.0,507.0,498.0,534.0
504.0,498.0,503.0,494.0,535.0
503.0,501.0,507.0,496.0,531.0
509.0,504.0,516.0,504.0,523.0
