CH1,CH2,CH3,CH4,CH5
499,509,497,527,515
504,509,501,528,506
509,509,506,529,507
511,506,510,524,505
515,506,517,519,504
521,504,522,514,504
527,509,529,511,504
529,506,536,509,504
530,504,534,501,507
530,504,533,498,513
519,504,530,497,524
510,499,515,490,532
504,500,506,500,533
498,501,498,505,525
497,506,497,518,523
498,508,499,525,514
496,507,494,527,513
500,511,500,530,512
505,509,502,527,508
508,511,507,527,506
516,507,516,525,505
516,505,518,518,504
529,506,526,513,502
533,504,530,514,504
526,504,533,502,508
522,505,534,499,514
518,504,532,496,518
516,502,525,497,526
507,501,509,492,529
499,503,502,499,531
502,504,498,515,525
496,505,495,518,523
497,516,496,525,516
502,508,497,529,515
505,511,501,527,505
508,512,504,531,506
509,508,508,527,504
517,507,518,524,507
519,506,520,516,504
526,508,528,514,504
533,510,533,509,508
532,504,535,503,511
527,505,532,499,512
524,503,529,498,517
520,504,524,495,523
504,501,512,497,529
498,501,499,502,528
496,505,496,512,524
500,510,497,523,520
500,509,495,532,513
499,510,497,529,509
507,512,503,531,507
507,508,504,528,505
511,507,510,524,505
516,507,519,519,503
518,504,521,514,502
525,506,529,513,504
530,509,535,508,504
529,504,535,502,510
526,504,532,499,516
519,503,527,498,521
511,500,517,495,528
500,500,506,499,534
497,504,500,508,529
495,505,494,515,523
500,508,496,524,517
502,511,497,529,514
503,508,498,530,508
507,510,504,531,504
508,508,508,528,503
512,506,510,523,504
518,505,519,518,504
522,505,524,514,504
533,507,531,511,503
532,506,536,506,508
531,508,533,502,514
524,504,531,499,520
518,502,525,498,518
507,499,512,496,527
499,501,505,499,530
499,504,498,509,526
498,507,494,524,522
498,509,496,526,518
503,511,494,527,510
507,511,501,530,506
508,509,503,529,504
510,513,507,526,503
511,505,512,520,503
518,506,523,517,503
527,508,533,519,502
530,507,533,511,505
527,504,534,502,512
525,501,530,498,513
520,503,528,499,519
517,504,524,499,524
506,499,506,495,528
502,504,501,506,529
500,506,495,513,521
505,510,497,523,518
500,509,495,527,514
505,511,497,531,509
512,511,503,534,502
508,508,505,530,501
509,507,510,525,508
517,506,516,520,498
520,504,524,514,508
529,504,527,509,505
535,507,535,510,504
536,507,540,502,510
526,507,533,501,516
520,504,525,499,516
513,503,517,497,525
501,501,504,497,534
497,502,499,505,530
497,506,495,514,523
500,510,495,523,519
501,508,494,526,510
504,509,498,528,509
505,508,507,534,504
510,509,506,527,502
516,510,509,523,506
518,504,518,518,505
527,505,522,516,505
525,504,530,508,506
529,506,535,505,506
532,505,536,500,512
525,505,532,499,518
519,503,526,498,521
503,498,511,494,530
499,499,503,500,530
500,504,500,510,527
495,506,494,517,520
498,509,496,526,515
505,511,497,533,512
506,510,500,534,507
506,510,500,529,502
518,510,508,527,503
517,506,512,521,500
521,506,520,518,502
528,508,528,514,505
533,507,534,511,504
536,506,536,503,509
527,504,533,500,517
520,503,528,497,520
517,503,524,498,522
505,500,509,497,532
500,501,501,508,534
497,505,498,514,522
499,510,497,522,519
499,510,498,527,514
500,509,496,527,507
506,510,502,531,504
511,508,503,530,505
511,505,508,523,502
516,504,514,520,502
519,504,520,515,505
524,505,529,513,506
527,506,536,506,505
528,504,535,503,510
521,501,531,498,514
514,502,527,499,520
509,501,520,498,526
508,499,506,499,526
507,504,501,509,525
500,505,495,514,524
496,509,495,522,519
503,511,497,528,514
503,509,497,528,508
508,511,504,530,504
514,509,506,528,504
516,507,510,522,505
527,507,519,519,503
527,504,527,515,501
531,504,532,511,503
532,505,532,505,511
528,504,533,498,521
527,505,531,498,518
522,505,526,497,522
514,502,514,495,531
503,501,503,500,527
502,504,499,510,526
497,506,492,516,522
500,510,497,525,514
504,514,498,531,510
505,510,498,530,500
506,514,503,529,500
511,506,506,525,499
518,507,513,522,502
522,505,519,517,501
527,506,527,514,503
527,507,533,509,506
528,509,536,504,511
523,505,533,500,513
517,504,528,498,514
516,506,525,498,519
503,500,510,500,531
496,503,501,503,526
505,509,497,511,530
503,506,494,519,523
502,510,495,526,516
505,511,497,531,508
506,510,501,530,501
508,509,504,529,504
510,507,509,526,500
516,505,514,519,500
517,506,521,516,500
515,504,527,510,504
522,507,535,506,510
524,504,537,502,511
519,503,533,498,515
512,505,528,497,519
512,504,520,497,525
530,503,509,498,523
517,506,503,509,519
506,508,496,516,513
501,508,494,523,508
506,509,494,526,494
508,509,497,527,506
508,510,501,528,496
513,508,505,528,503
517,505,509,522,502
523,506,519,520,499
529,505,526,515,497
529,507,531,510,514
530,506,536,503,524
530,505,534,499,518
